Question,ReponseConseil
Pourquoi voulez-vous devenir Française ?,"Parce que je me sens intégré(e) en France, mes valeurs correspondent à celles de la République, je construis ici ma vie personnelle et professionnelle. J’aime la culture française, son histoire et sa place dans le monde. Conseils : Éviter une réponse vague du type « parce que c’est mieux » ou            « pour voyager ». Insister sur votre intégration, vos projets en France, vos attaches, et citer les valeurs (liberté, égalité, fraternité, laïcité). Mentionner aussi vos habitudes de vie françaises."
À quelle fréquence retournez-vous dans votre pays d’origine ?,Réponse possible : J’y vais [x] fois par an (ou tous les [x] ans). Conseils : Soyez précis et honnête : la préfecture a accès aux tampons de votre passeport. Trop de séjours longs dans le pays d’origine peut donner l’impression que vous n’êtes pas vraiment installé en France.
Quelles activités partagez-vous avec votre conjoint/partenaire ?,"Réponse possible : Nous faisons du sport ensemble, nous sortons le week-end, nous voyageons en France. Conseils : Éviter de répondre uniquement « on reste à la maison ». Montrer une vie de couple équilibrée et intégrée dans la société française (activités culturelles, sportives, voyages en France)."
Avez-vous des enfants ? Qui s’en occupe ?,"Réponse possible : Oui, nous avons [x] enfants et nous nous occupons ensemble de leur éducation et des tâches ménagères. Conseils : Ne pas dire « j’aide ma femme/mari ». Préférez"
Quels sont vos liens familiaux et amicaux en France ?,"Réponse possible : J’ai des cousins, amis proches, collègues, voisins avec qui je partage ma vie en France. Conseils : Plus vous mentionnez de liens en France (famille, amis, collègues, associations), plus cela renforce votre intégration."
Quelle langue utilisez-vous au travail et à la maison ?,"Réponse possible : Le français, pour mes échanges au travail et dans la vie quotidienne. Conseils : Insister sur l’utilisation quotidienne du français. Éviter de dire que vous parlez surtout une autre langue à la maison."
Êtes-vous membre d’une association ?,"Réponse possible : Oui, je fais partie de [nom de l’association] depuis [année]. Conseils : C’est un « plus » mais pas obligatoire. Si vous êtes engagé dans une association, surtout sociale ou culturelle, cela démontre une bonne intégration."
Quels sont vos loisirs ?,"Réponse possible : Lecture, sport, cinéma, voyages, musique. Conseils : Mentionnez aussi des activités liées à la culture française (voyages dans les régions, gastronomie, etc.)."
Pourquoi êtes-vous venu(e) en France la première fois ?,Réponse possible : Pour mes études / pour le travail / pour rejoindre ma famille. Conseils : Restez factuel et montrez que ce choix était réfléchi.
Qu’avez-vous trouvé en France que vous n’aviez pas dans votre pays d’origine ?,"Réponse possible : La démocratie, la liberté d’expression, la culture, les opportunités professionnelles. Conseils : Valorisez la France, sans dénigrer votre pays d’origine."
