question,answer,category
"1. Pourquoi voulez-vous devenir Française ?","Parce que je me sens intégré(e) en France, mes valeurs correspondent à celles de la République, je construis ici ma vie personnelle et professionnelle. J'aime la culture française, son histoire et sa place dans le monde.","Personnel"
"2. À quelle fréquence retournez-vous dans votre pays d'origine ?","J'y vais [x] fois par an (ou tous les [x] ans). Soyez précis et honnête.","Personnel"
"3. Quelles activités partagez-vous avec votre conjoint/partenaire ?","Nous faisons du sport ensemble, nous sortons le week-end, nous voyageons en France.","Personnel"
"4. Avez-vous des enfants ? Qui s'en occupe ?","Oui, nous avons [x] enfants et nous nous occupons ensemble de leur éducation.","Personnel"
"5. Quels sont vos liens familiaux et amicaux en France ?","J'ai des cousins, amis proches, collègues, voisins avec qui je partage ma vie en France.","Personnel"
"6. Quelle langue utilisez-vous au travail et à la maison ?","Le français, pour mes échanges au travail et dans la vie quotidienne.","Personnel"
"7. Êtes-vous membre d'une association ?","Oui, je fais partie de [nom de l'association] depuis [année].","Personnel"
"8. Quels sont vos loisirs ?","Lecture, sport, cinéma, voyages, musique.","Personnel"
"9. Pourquoi êtes-vous venu(e) en France la première fois ?","Pour mes études / pour le travail / pour rejoindre ma famille.","Personnel"
"10. Qu'avez-vous trouvé en France que vous n'aviez pas dans votre pays d'origine ?","La démocratie, la liberté d'expression, la culture, les opportunités professionnelles.","Personnel"
"11. Où avez-vous appris le français ?","Dans mon pays, à l'école, à l'université, dans des cours en France.","Personnel"
"12. Avez-vous encore de la famille dans votre pays d'origine ?","Oui, mais je ne compte pas les faire venir.","Personnel"
"13. Où passez-vous vos vacances ?","En France : Paris, Bretagne, Normandie, Marseille, etc.","Personnel"
"14. Quelles sont les nationalités des personnes de votre entourage ?","Principalement des Français, mais aussi des personnes d'autres origines.","Personnel"
"15. Citez les trois plus grandes villes françaises.","Paris, Lyon, Marseille.","Géographie"
"16. Citez trois départements français.","Le Haut-Rhin, la Haute-Garonne, les Bouches-du-Rhône.","Géographie"
"17. Citez trois départements d'outre-mer.","La Guadeloupe, la Martinique, la Réunion.","Géographie"
"18. Citez trois régions françaises.","Île-de-France, Bretagne, Provence-Alpes-Côte d'Azur.","Géographie"
"19. Citez des fleuves français.","La Seine, la Loire, le Rhône, la Garonne, le Rhin.","Géographie"
"20. Citez des chaînes de montagnes françaises.","Les Alpes, les Pyrénées, le Massif central, les Vosges.","Géographie"
"21. Quel est le point culminant de la France ?","Le Mont-Blanc, 4809 mètres.","Géographie"
"22. Quels sont les pays frontaliers de la France ?","Espagne, Italie, Suisse, Allemagne, Luxembourg, Belgique, Monaco, Andorre.","Géographie"
"23. Dans quelle région êtes-vous ?","Ile De France, Yvelines, Versailles, François de Mazières.","Géographie"
"24. Citez trois rois de France.","Charlemagne, François Ier, Louis XIV.","Histoire"
"25. Citez trois reines de France.","Marie-Antoinette, Catherine de Médicis, Anne d'Autriche.","Histoire"
"26. En quoi Louis XIV est-il célèbre ?","Il a régné très longtemps (le Roi-Soleil), symbole de la monarchie absolue, il a fait construire Versailles.","Histoire"
